Player,team,price,skill/pot,Total_Minutes_Played
Erling Haaland,Man City,€198.8M,92.8/100.0,2480.0
Martin Ødegaard,Arsenal,€126.5M,89.2/92.9,2130.0
Alexander Isak,Newcastle Utd.,€120.3M,82.0/84.9,2487.0
Cole Palmer,Chelsea,€115.4M,80.1/92.5,2831.0
Declan Rice,Arsenal,€107.8M,83.7/86.6,2645.0
Alexis Mac Allister,Liverpool,€106.1M,85.5/88.9,2553.0
Phil Foden,Man City,€105.7M,86.5/93.6,1693.0
Bukayo Saka,Arsenal,€101.3M,87.2/96.9,1539.0
Ryan Gravenberch,Liverpool,€85.3M,86.8/98.3,2921.0
Bruno Guimarães,Newcastle Utd.,€83.2M,80.9/82.6,2912.0
Moisés Caicedo,Chelsea,€80.7M,81.1/91.9,2991.0
William Saliba,Arsenal,€79.5M,88.9/96.7,2904.0
Omar Marmoush,Man City,€79.1M,77.1/79.4,998.0
Joško Gvardiol,Man City,€78.7M,79.4/91.0,3007.0
Gabriel Magalhães,Arsenal,€75.5M,84.8/86.5,2363.0
Sávio,Man City,€74.8M,77.8/91.6,1734.0
Enzo Fernández,Chelsea,€73.7M,75.1/82.7,2590.0
Dominik Szoboszlai,Liverpool,€71.4M,86.9/93.8,2257.0
Brennan Johnson,Tottenham,€71.3M,76.4/84.3,2083.0
Lucas Paquetá,West Ham United,€71.2M,76.0/78.0,2257.0
Leny Yoro,Man Utd,€71M,70.5/88.1,1069.0
Luis Díaz,Liverpool,€71M,86.5/86.5,2225.0
Kai Havertz,Arsenal,€70.5M,85.1/89.1,1839.0
Morgan Rogers,Aston Villa,€69M,69.2/78.4,2853.0
Murillo,Nottingham,€68.4M,73.9/85.8,2928.0
Cody Gakpo,Liverpool,€67.5M,86.3/89.3,1627.0
Nicolas Jackson,Chelsea,€66.2M,81.5/91.3,2114.0
Kobbie Mainoo,Man Utd,€66M,68.8/87.2,1416.0
Rico Lewis,Man City,€62.7M,75.0/88.9,1818.0
Matheus Cunha,Wolverhampton,€62.6M,80.9/83.2,2425.0
Gabriel Martinelli,Arsenal,€62.6M,87.7/96.4,2041.0
Eberechi Eze,C. Palace,€62.2M,74.9/75.8,2337.0
Amadou Onana,Aston Villa,€62.1M,68.7/76.0,1378.0
Micky van de Ven,Tottenham,€61.8M,71.1/79.1,950.0
Mohammed Kudus,West Ham United,€61.7M,73.1/79.0,2331.0
Morgan Gibbs-White,Nottingham,€61.7M,77.1/80.0,2451.0
Curtis Jones,Liverpool,€61.7M,77.9/84.0,1438.0
Ollie Watkins,Aston Villa,€61.4M,80.4/80.9,2333.0
João Pedro,Brighton,€61.3M,71.0/78.5,1948.0
Darwin Núñez,Liverpool,€60.9M,80.5/84.1,1018.0
Alejandro Garnacho,Man Utd,€60.7M,70.9/87.1,2056.0
Pedro Neto,Chelsea,€60.6M,70.6/75.9,1923.0
Dejan Kulusevski,Tottenham,€60.5M,86.7/91.7,2281.0
Cristian Romero,Tottenham,€60.1M,72.6/74.8,1416.0
Destiny Udogie,Tottenham,€59.4M,78.5/90.3,1834.0
Ben White,Arsenal,€58.8M,83.1/84.9,941.0
Illia Zabarnyi,B'mouth,€58.8M,75.3/88.1,2842.0
Diogo Jota,Liverpool,€58.6M,83.2/83.6,1097.0
Rúben Dias,Man City,€58.5M,86.4/86.4,2001.0
Archie Gray,Tottenham,€58.2M,71.0/89.0,1391.0
James Maddison,Tottenham,€58.1M,81.2/81.2,1809.0
Ibrahima Konaté,Liverpool,€57.2M,81.4/85.4,2320.0
Bryan Mbeumo,Brentford,€57.2M,81.2/85.9,3054.0
Levi Colwill,Chelsea,€56.6M,78.1/91.4,2789.0
Pedro Porro,Tottenham,€55.9M,74.6/79.7,2463.0
Trent Alexander-Arnold,Liverpool,€55.8M,85.3/87.4,2240.0
Dean Huijsen,B'mouth,€55M,65.2/82.3,2234.0
Bruno Fernandes,Man Utd,€54.8M,79.8/79.9,2758.0
Marc Guéhi,C. Palace,€54.2M,79.0/83.7,2879.0
Marcus Rashford,Aston Villa,€53.6M,79.1/79.2,978.0
Sandro Tonali,Newcastle Utd.,€52.9M,78.0/82.3,2270.0
Carlos Baleba,Brighton,€52.4M,73.7/87.5,2313.0
Matthijs de Ligt,Man Utd,€52.2M,75.6/82.9,2089.0
Dominic Solanke,Tottenham,€52.1M,79.5/80.2,2119.0
Christopher Nkunku,Chelsea,€51.7M,79.1/81.0,921.0
Noni Madueke,Chelsea,€51.6M,76.1/86.4,1723.0
João Gomes,Wolverhampton,€51.1M,71.4/77.2,2781.0
Pape Matar Sarr,Tottenham,€50.8M,70.5/80.6,1636.0
Kaoru Mitoma,Brighton,€50.6M,80.2/80.2,2521.0
Bernardo Silva,Man City,€50M,86.7/87.8,2401.0
Anthony Gordon,Newcastle Utd.,€49.5M,80.7/86.9,2200.0
Valentino Livramento,Newcastle Utd.,€49.3M,73.6/84.3,2480.0
Riccardo Calafiori,Arsenal,€49.3M,73.1/80.7,925.0
Lisandro Martínez,Man Utd,€49.2M,73.0/74.5,1751.0
Adam Wharton,C. Palace,€48.9M,68.1/81.3,1258.0
Amad Diallo,Man Utd,€48.5M,69.4/76.9,1594.0
Jarrod Bowen,West Ham United,€48.1M,73.5/75.3,2631.0
Antoine Semenyo,B'mouth,€47.7M,74.1/79.3,2933.0
Joelinton,Newcastle Utd.,€47.5M,77.0/77.0,2393.0
Elliot Anderson,Nottingham,€46.5M,79.6/89.8,2377.0
Antonee Robinson,Fulham,€46.4M,77.9/78.7,2989.0
Boubacar Kamara,Aston Villa,€46.3M,78.9/82.6,1463.0
Jacob Ramsey,Aston Villa,€45.8M,78.8/85.9,1516.0
Anthony Elanga,Nottingham,€45.5M,75.0/82.6,2142.0
Pau Torres,Aston Villa,€45.3M,75.6/77.2,1819.0
Justin Kluivert,B'mouth,€44.8M,79.3/81.7,2161.0
Joshua Zirkzee,Man Utd,€43.7M,73.5/80.1,1402.0
Noussair Mazraoui,Man Utd,€43M,76.6/77.4,2639.0
Manuel Akanji,Man City,€42.8M,79.9/82.7,1744.0
Ezri Konsa,Aston Villa,€42.7M,75.9/76.1,2666.0
Yankuba Minteh,Brighton,€42.6M,74.0/85.6,1498.0
Jan Paul van Hecke,Brighton,€42.4M,72.3/78.6,2598.0
Matheus Nunes,Man City,€42.3M,71.6/72.7,1494.0
Guglielmo Vicario,Tottenham,€41.6M,72.3/72.3,1980.0
Youri Tielemans,Aston Villa,€41.5M,79.1/79.9,2997.0
Harvey Barnes,Newcastle Utd.,€41.5M,78.2/78.6,1413.0
Georginio Rutter,Brighton,€41.3M,72.1/79.0,1656.0
Emile Smith Rowe,Fulham,€40.8M,75.7/80.3,1886.0
Ian Maatsen,Aston Villa,€40.6M,76.1/84.5,957.0
Bilal El Khannouss,Leicester,€40.6M,64.6/79.6,2003.0
Mikel Merino,Arsenal,€40.5M,74.6/74.6,1418.0
Marc Cucurella,Chelsea,€39.4M,75.7/78.7,2628.0
Leon Bailey,Aston Villa,€39.2M,76.2/77.5,1138.0
Mohamed Salah,Liverpool,€38.5M,86.6/86.6,3011.0
Nikola Milenković,Nottingham,€38M,78.2/80.3,2970.0
Jadon Sancho,Chelsea,€37.7M,78.9/85.6,1668.0
Diogo Dalot,Man Utd,€37.4M,73.1/77.0,2788.0
Pervis Estupiñán,Brighton,€37.1M,74.0/76.2,2132.0
Liam Delap,Ipswich Town,€37M,65.8/75.1,2491.0
Max Kilman,West Ham United,€36.7M,72.3/72.3,2988.0
Edson Álvarez,West Ham United,€36.5M,70.8/71.7,1633.0
Jean-Clair Todibo,West Ham United,€36M,73.4/77.6,1485.0
Joe Willock,Newcastle Utd.,€35.8M,73.3/77.4,953.0
Myles Lewis-Skelly,Arsenal,€34.9M,59.7/79.0,1168.0
Lewis Hall,Newcastle Utd.,€34.5M,72.1/88.0,2189.0
André Onana,Man Utd,€34.2M,73.5/76.9,2970.0
Vitaliy Mykolenko,Everton,€33.5M,75.7/77.8,2812.0
Nathan Collins,Brentford,€33.3M,74.2/80.2,3060.0
Matty Cash,Aston Villa,€32.9M,74.9/74.9,1800.0
Malo Gusto,Chelsea,€32.8M,75.6/88.2,1819.0
Tyler Dibling,Southampton,€32.7M,53.3/81.5,1742.0
Lucas Bergvall,Tottenham,€32.6M,67.0/83.0,1212.0
Jarrad Branthwaite,Everton,€32.2M,77.2/85.6,2348.0
Leandro Trossard,Arsenal,€31.8M,79.5/79.5,2354.0
Jean-Philippe Mateta,C. Palace,€31.7M,74.8/74.8,2442.0
Rodrigo Bentancur,Tottenham,€31.5M,74.3/75.0,1518.0
Joachim Andersen,Fulham,€31.4M,78.6/78.6,2313.0
Yoane Wissa,Brentford,€31.4M,76.7/76.7,2560.0
Daniel Muñoz,C. Palace,€30.9M,77.5/77.5,2868.0
Jørgen Strand Larsen,Wolverhampton,€30.8M,72.5/76.7,2463.0
Facundo Buonanotte,Leicester,€30.7M,66.8/84.2,1474.0
Bart Verbruggen,Brighton,€30.7M,72.3/84.4,2880.0
Wesley Fofana,Chelsea,€30.3M,72.6/77.7,1172.0
Alex Iwobi,Fulham,€30.3M,76.3/76.3,2796.0
Callum Hudson-Odoi,Nottingham,€30.2M,81.4/86.4,2152.0
Calvin Bassey,Fulham,€29.9M,73.3/79.3,2894.0
Taylor Harwood-Bellis,Southampton,€29.9M,66.9/79.9,2654.0
André,Wolverhampton,€29.8M,71.5/79.3,2249.0
Yves Bissouma,Tottenham,€29.8M,71.4/71.7,1210.0
Kevin Schade,Brentford,€29.7M,71.1/76.5,1998.0
David Raya,Arsenal,€28.9M,86.5/86.5,3150.0
Mikkel Damsgaard,Brentford,€28.6M,73.4/78.0,2578.0
Dango Ouattara,B'mouth,€28.5M,72.9/80.4,2005.0
Leif Davis,Ipswich Town,€28.2M,67.0/73.9,2563.0
Sander Berge,Fulham,€27.8M,72.4/72.7,2091.0
Maxence Lacroix,C. Palace,€27.7M,76.4/80.0,2756.0
Keane Lewis-Potter,Brentford,€27.1M,71.8/77.4,2759.0
Vitaly Janelt,Brentford,€27.1M,77.0/77.8,2254.0
Lesley Ugochukwu,Southampton,€27M,62.1/74.4,1525.0
Dwight McNeil,Everton,€27M,70.8/75.4,1262.0
Evanilson,B'mouth,€26.9M,73.4/77.4,2058.0
Aaron Wan-Bissaka,West Ham United,€26.9M,74.4/75.0,2794.0
Sepp van den Berg,Brentford,€26.4M,71.5/79.4,2226.0
Iliman Ndiaye,Everton,€25.7M,68.5/72.9,2252.0
Mateo Kovačić,Man City,€25.3M,77.7/77.7,2049.0
Jacob Greaves,Ipswich Town,€25.1M,65.2/73.1,1935.0
Wout Faes,Leicester,€25M,67.2/70.8,2545.0
Robert Sánchez,Chelsea,€24.9M,75.8/75.8,2520.0
Tyrick Mitchell,C. Palace,€24.6M,80.7/83.8,2852.0
Jesper Lindstrøm,Everton,€24.4M,70.6/73.7,1239.0
Marcus Tavernier,B'mouth,€24.4M,71.8/74.8,1670.0
Tyler Adams,B'mouth,€24.4M,72.9/75.9,1710.0
Beto,Everton,€24.4M,66.7/66.7,1268.0
Orel Mangala,Everton,€24.4M,71.2/71.5,1261.0
Tosin Adarabioyo,Chelsea,€24.3M,74.1/74.1,1229.0
Virgil van Dijk,Liverpool,€24.3M,79.8/80.3,3060.0
Alisson,Liverpool,€24.1M,78.0/78.0,2148.0
